"author.id.oape","author.id.viaf","author.name","author.birth","author.death","publication.id.oclc","word.count","character.count","article.count","author.name.transliterated"
NA,NA,NA,NA,NA,792756327,746,3018,111,NA
2845,NA,"مريم زكا",NA,NA,792756327,61,299,6,"mrym zka"
2844,219321857,"ماري  عجمي","1888-05-14","1965-12-25",792756327,54,253,5,"mary  3jmy"
729,NA,"سلوى  سلامة",NA,NA,792756327,54,252,4,"slwA  slam0"
1888,NA,"شحادة  شحادة",NA,NA,792756327,39,187,3,"W7ad0  W7ad0"
2841,167736381,"الياس  عطا الله","1950",NA,792756327,18,69,2,"alyas  3Ta allh"
2846,NA,"جرجس  توما",NA,NA,792756327,20,84,2,"jrjs  twma"
1551,70069360,"جوليا  طعمة","1880","1954",792756327,24,113,2,"jwlya  T3m0"
533,40250618,"عيسى  اسكندر  المعلوف","1869-04-11","1956-07-02",792756327,20,82,2,"3ysA  askndr  alm3lwf"
NA,NA,"لبنانية",NA,NA,792756327,14,63,2,"lbnany0"
411,14924300,"معروف  الرصافي","1875-01-01","1945-01-01",792756327,19,102,2,"m3rwf  alrSafy"
2839,233275351,"وردة  اليازجي","1838-01-20","1924",792756327,15,68,2,"wrd0  alyazjy"
NA,NA,"استير موايال",NA,NA,792756327,12,65,1,"astyr mwayal"
2840,NA,"اسما  سيور",NA,NA,792756327,7,26,1,"asma  sywr"
NA,NA,"اسما بللمع",NA,NA,792756327,7,27,1,"asma bllm3"
NA,NA,"الدكتور فياض الخطيب",NA,NA,792756327,11,45,1,"aldktwr fyaD alKTyb"
NA,NA,"الدكتور نجيب كحيل",NA,NA,792756327,9,33,1,"aldktwr njyb k7yl"
NA,NA,"بولس شحاده",NA,NA,792756327,11,49,1,"bwls W7adh"
NA,NA,"جرجي قصاص",NA,NA,792756327,18,75,1,"jrjy QSaS"
NA,NA,"جوليا طمعه",NA,NA,792756327,9,35,1,"jwlya Tm3h"
1613,NA,"حليم دموس",NA,NA,792756327,8,32,1,"7lym dmws"
NA,NA,"حنا حمصي",NA,NA,792756327,9,43,1,"7na 7mSy"
1664,NA,"خير الله خير الله",NA,NA,792756327,12,50,1,"Kyr allh Kyr allh"
1755,NA,"روزا حداد",NA,NA,792756327,11,49,1,"rwza 7dad"
NA,NA,"روزا حداد",NA,NA,792756327,11,49,1,"rwza 7dad"
NA,NA,"سلمى طراد",NA,NA,792756327,17,72,1,"slmA Trad"
NA,NA,"سلوى",NA,NA,792756327,9,43,1,"slwA"
NA,NA,"سليم سابا باز",NA,NA,792756327,14,54,1,"slym saba baz"
NA,NA,"عفيفة مصوبع",NA,NA,792756327,8,28,1,"3fyf0 mSwb3"
2838,NA,"فريدة هانم",NA,NA,792756327,23,113,1,"fryd0 hanm"
2836,NA,"فزع  سلمى",NA,NA,792756327,9,38,1,"fz3  slmA"
NA,NA,"فليب سعد",NA,NA,792756327,7,24,1,"flyb s3d"
2827,57546984,"فليكس  فارس","1882","1939-06-27",792756327,8,33,1,"flyks  fars"
2849,NA,"قسطاكي  حمصي",NA,NA,792756327,18,53,1,"QsTaky  7mSy"
2850,NA,"مخايل حايك",NA,NA,792756327,15,67,1,"mKayl 7ayk"
NA,NA,"مريانا مراش",NA,NA,792756327,8,26,1,"mryana mraW"
NA,NA,"منشيء الحسناء",NA,NA,792756327,23,92,1,"mnWyq al7snaq"
NA,NA,"نجيب جرجس طاسو",NA,NA,792756327,11,45,1,"njyb jrjs Tasw"
NA,NA,"نظله برباري",NA,NA,792756327,11,47,1,"nZlh brbary"
2847,NA,"نلي  زعرب",NA,NA,792756327,8,33,1,"nly  z3rb"
NA,NA,"وديع  الخوري  | وديع  الخوري","|","|",792756327,9,42,1,"wdy3  alKwry  | wdy3  alKwry"
NA,NA,"وديع الخوري",NA,NA,792756327,4,10,1,"wdy3 alKwry"
