"referenced.periodical.title","publication.id.oclc","article.count","issue.count"
"لغة العرب",472450345,89,27
"الرياض",472450345,29,24
"الزهور",472450345,10,9
"العلم",472450345,7,6
"الدستور",472450345,6,5
"الحياة",472450345,5,5
"المقتبس",472450345,5,5
"الهلال",472450345,4,4
"سبل الرشاد",472450345,4,3
"المشرق",472450345,3,3
"القسطاس",472450345,2,2
"الآثار",472450345,1,1
"الالستراسيون",472450345,1,1
"الانثربوس",472450345,1,1
"الاونيفر",472450345,1,1
"البيان",472450345,1,1
"التعاون",472450345,1,1
"التفكر",472450345,1,1
"الجسمانية",472450345,1,1
"الجنان",472450345,1,1
"الحبل",472450345,1,1
"الزوراء",472450345,1,1
"الطان",472450345,1,1
"الطبيب",472450345,1,1
"العرب",472450345,1,1
"العرفان",472450345,1,1
"المفيد",472450345,1,1
"المقتطف",472450345,1,1
"المنار",472450345,1,1
"جبل عامل",472450345,1,1
"دير القمر",472450345,1,1
"شمس المعارف",472450345,1,1
"صدى باريس الفرنسوية",472450345,1,1
"عفريت",472450345,1,1
"كمال",472450345,1,1
"لسان العرب",472450345,1,1
"لغة",472450345,1,1
"مجلة العالم الإسلامي",472450345,1,1
"مجلة اللجنة الأميركية الشرقية",472450345,1,1
"نجف",472450345,1,1
"نفكر",472450345,1,1
