Source,Target,Type,Id,Label,timeset,Weight
oape.707_oclc.4770057679_v.7_i.8_div_6.d1e1132,oape.878_oclc.4770057679_v.5_i.1_div_8.d1e3262,Undirected,332,,,2
oape.741_oclc.4770057679_v.3_i.10_div_6.d1e2359,oape.741_oclc.4770057679_v.3_i.11_div_5.d1e1119,Undirected,336,,,208
oape.741_oclc.4770057679_v.3_i.10_div_6.d1e2359,oape.741_oclc.4770057679_v.7_i.3_div_5.d1e1120,Undirected,337,,,62
oape.741_oclc.4770057679_v.3_i.10_div_6.d1e2359,oape.741_oclc.4770057679_v.7_i.4_div_3.d1e696,Undirected,338,,,54
oape.741_oclc.4770057679_v.3_i.11_div_5.d1e1119,oape.741_oclc.4770057679_v.7_i.3_div_5.d1e1120,Undirected,344,,,210
oape.741_oclc.4770057679_v.3_i.11_div_5.d1e1119,oape.741_oclc.4770057679_v.7_i.4_div_3.d1e696,Undirected,345,,,136
oape.741_oclc.4770057679_v.7_i.3_div_5.d1e1120,oape.741_oclc.4770057679_v.7_i.4_div_3.d1e696,Undirected,354,,,126
oape.741_oclc.4770057679_v.7_i.3_div_5.d1e1120,oape.878_oclc.4770057679_v.4_i.12_div_7.d1e3096,Undirected,356,,,18
oape.878_oclc.4770057679_v.4_i.12_div_7.d1e3096,oape.878_oclc.4770057679_v.5_i.1_div_8.d1e3262,Undirected,371,,,216
oape.878_oclc.4770057679_v.4_i.12_div_7.d1e3096,oape.878_oclc.4770057679_v.8_i.4_,Undirected,372,,,64
oape.878_oclc.4770057679_v.4_i.8_div_3.d1e692,oape.878_oclc.4770057679_v.5_i.1_div_8.d1e3262,Undirected,383,,,38
oape.878_oclc.4770057679_v.5_i.1_div_8.d1e3262,oape.878_oclc.4770057679_v.8_i.4_,Undirected,394,,,14
oape.878_oclc.4770057679_v.5_i.1_div_8.d1e3262,oape.917_oclc.4770057679_v.7_i.5_div_6.d1e1838,Undirected,395,,,6
oape.917_oclc.4770057679_v.7_i.5_div_6.d1e1838,أبو اليسر ابراهيم بن محمد بن المدبر_oclc.4770057679_v.4_i.9_div_4.d1e1061,Undirected,408,,,38
